FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV
"11022026","0","","HONDA","PCX125","AL","125"
"11022026","0","","VOGE","DS800X RALLY","VI","798"
"11022026","0","","HONDA","CB 500 F","B","471"
"11022026","0","","SHERCO","300 ST","GI","294"
"11022026","0","","PEUGEOT","DJANGO","SE","125"
"11022026","0","","HONDA","SH125i","MA","125"
"11022026","0","","HONDA","SH125i","MA","125"
"11022026","0","","ZONTES","368G","B","368"
"11022026","0","","NEXT","NX2 125I","IB","125"
"11022026","0","","ZONTES","125C","MA","125"
"11022026","0","","YAMAHA","MT-09","M","890"
"11022026","0","","CFMOTO","800MT-X","CS","799"
"11022026","0","","YAMAHA","WR125","O","125"
"11022026","0","","HONDA","ADV 350","B","330"
"11022026","0","","HONDA","CRF1100","M","1084"
"11022026","0","","ROYAL ENFIELD","HIMALAYAN 452","B","452"
"11022026","0","","SHERCO","250 SE-R","V","249"
"11022026","0","","KAWASAKI","NINJA 650","TF","649"
"11022026","0","","SYM","SYMPHONY 125","B","125"
"11022026","0","","HONDA","PCX125","H","125"
"11022026","0","","APRILIA","SX 125","SE","124"
"11022026","0","","HUSQVARNA","HUSQVARNA FE 350","GR","350"
"11022026","0","","YAMAHA","NMAX125","M","125"
"11022026","0","","HONDA","VISION 110","B","109"
"11022026","0","","VOGE","DS900X","MA","895"
"11022026","0","","ZONTES","125E","B","125"
"11022026","0","","YAMAHA","NMAX125","V","125"
"11022026","0","","YAMAHA","NMAX125","SE","125"
"11022026","0","","YAMAHA","MT-09","CA","890"
"11022026","0","","VOGE","DS800X RALLY","BI","798"
"11022026","0","","ZONTES","ZT125-G1","B","125"
"11022026","0","","YAMAHA","NMAX125","V","125"
"11022026","0","","CFMOTO","800MT-X","GC","799"
"11022026","0","","APRILIA","SR GT 125","CO","125"
"11022026","0","","HONDA","PCX125","B","125"
"11022026","0","","ZONTES","368G","M","368"
"11022026","0","","HONDA","ADV 350","B","330"
"11022026","0","","MITT","125GTS","SE","125"
"11022026","0","","TRIUMPH","SCRAMBLER 900","B","900"
"11022026","0","","HONDA","SH125i","SE","125"
"11022026","0","","YAMAHA","XMAX125","B","125"
"11022026","0","","YAMAHA","XMAX125","C","125"
"11022026","0","","TRIUMPH","TF250-E","B","250"
"11022026","0","","DUCATI","SCRAMBLER ICON DARK","GI","803"
"11022026","0","","HONDA","CB750 Hornet","M","755"
"11022026","0","","RIEJU","RALLY 307","M","292"
"11022026","0","","KAWASAKI","KLE500","B","451"
"11022026","0","","KAWASAKI","KLE500","B","451"
"11022026","0","","YAMAHA","XMAX125","MA","125"
"11022026","0","","HUSQVARNA","HUSQVARNA TE 300","LE","293"
"11022026","0","","HERO MOTOCORP","X PULSE 200 4V","CA","200"
"11022026","0","","TRIUMPH","SCRAMBLER 1200 X","GR","1200"
"11022026","0","","HONDA","SH350i","M","330"
"11022026","0","","TRIUMPH","TRIDENT 800","Z","798"
"11022026","0","","YAMAHA","NMAX125","M","125"
"11022026","0","","HONDA","PCX125","SA","125"
"11022026","0","","HONDA","SH125i","B","125"
"11022026","0","","YAMAHA","MT-07","B","689"
"11022026","0","","KYMCO","SKYTOWN 125","BA","125"
"11022026","0","","HONDA","SH125i","V","125"
"11022026","0","","VOGE","DS800X RALLY","T","798"
"11022026","0","","VOGE","DS800X RALLY","B","798"
"11022026","0","","YAMAHA","NMAX125","B","125"
"11022026","0","","VOGE","DS900X","B","895"
"11022026","0","","KTM","KTM 990 RC R","GR","947"
"11022026","0","","VOGE","625DSX","A","581"
"11022026","0","","GASGAS","EC 300","TF","293"
"11022026","0","","LETBE","ISLAND","M","125"
"11022026","0","","KAWASAKI","ELIMINATOR","B","451"
"11022026","0","","SYM","SYMPHONY 125","SE","125"
"11022026","0","","HONDA","GB350S","B","348"
"11022026","0","","HONDA","PCX125","B","125"
"11022026","0","","YAMAHA","NMAX125","V","125"
"11022026","0","","QJMOTOR","FORT 125 N E5+","B","125"
"11022026","0","","ZONTES","368G","ML","368"
"11022026","0","","YAMAHA","NMAX125","B","125"
"11022026","0","","QJMOTOR","SRT 700 X E5+","MA","698"
"11022026","0","","APRILIA","SR GT 125","SE","125"
"11022026","0","","BMW","R 1300 GS","M","1300"
"11022026","0","","YAMAHA","NMAX125","A","125"
"11022026","0","","SYM","JET 14","GI","125"
"11022026","0","","ZONTES","125C","VI","125"
"11022026","0","","HONDA","FORZA125","GC","125"
"11022026","0","","ZONTES","125C","MA","125"
"11022026","0","","RIEJU","RALLY 307","B","292"
"11022026","0","","YAMAHA","TMAX 560","M","562"
"11022026","0","","YAMAHA","WR125","HU","125"
"11022026","0","","RIEJU","XPLORA 557","VA","554"
"11022026","0","","YAMAHA","MT-09","GI","890"
"11022026","0","","ZONTES","368G","B","368"
"11022026","0","","ZONTES","368E","GI","368"
"11022026","0","","ZONTES","368G","BA","368"
"11022026","0","","YAMAHA","RayZR 125","ML","125"
"11022026","0","","YAMAHA","NMAX125","LO","125"
"11022026","0","","YAMAHA","XTZ 700 Tenere","TF","689"
"11022026","0","","YAMAHA","NMAX125","B","125"
"11022026","0","","MITT","125R1","SE","124"
"11022026","0","","ZONTES","125E","V","125"
